timestamp,unit_number,time_cycles,sensor_2,sensor_3,sensor_4,sensor_7,sensor_11,sensor_15
2024-01-01 00:00:00,1,1,642.15,1591.29,1393.17,554.14,47.31,8.47
2024-01-01 01:00:00,1,2,641.96,1582.53,1401.36,554.46,48.04,8.49
2024-01-01 02:00:00,1,3,642.2,1591.05,1403.09,553.11,47.71,8.45
2024-01-01 03:00:00,1,4,642.46,1592.33,1416.91,554.68,47.33,8.47
2024-01-01 04:00:00,1,5,641.94,1584.72,1408.58,554.19,47.69,8.44
2024-01-01 05:00:00,1,6,641.94,1590.96,1394.85,553.74,47.79,8.5
2024-01-01 06:00:00,1,7,642.49,1590.4,1391.97,554.36,47.69,8.41
2024-01-01 07:00:00,1,8,642.25,1583.21,1404.51,555.34,47.03,8.51
2024-01-01 08:00:00,1,9,641.88,1592.23,1388.22,554.08,47.29,8.44
2024-01-01 09:00:00,1,10,642.19,1593.47,1416.61,554.12,47.43,8.38
2024-01-01 10:00:00,1,11,641.89,1596.63,1410.76,553.68,47.49,8.45
2024-01-01 11:00:00,1,12,641.9,1596.48,1395.95,553.44,47.7,8.41
2024-01-01 12:00:00,1,13,642.11,1581.92,1384.79,554.44,47.56,8.48
2024-01-01 13:00:00,1,14,641.47,1584.59,1412.42,553.42,47.11,8.42
2024-01-01 14:00:00,1,15,641.54,1593.33,1399.24,553.97,47.63,8.42
2024-01-01 15:00:00,1,16,641.89,1593.36,1411.45,553.63,47.7,8.37
2024-01-01 16:00:00,1,17,641.77,1593.4,1386.0,554.19,47.69,8.42
2024-01-01 17:00:00,1,18,642.17,1613.47,1395.0,554.09,47.85,8.35
2024-01-01 18:00:00,1,19,641.82,1593.82,1400.49,554.51,47.77,8.38
2024-01-01 19:00:00,1,20,641.67,1597.25,1400.91,553.56,47.66,8.47
2024-01-01 20:00:00,1,21,642.55,1596.2,1396.49,553.69,47.51,8.48
2024-01-01 21:00:00,1,22,642.05,1594.43,1406.2,553.26,47.03,8.46
2024-01-01 22:00:00,1,23,642.15,1588.68,1391.04,553.56,47.66,8.41
2024-01-01 23:00:00,1,24,641.71,1595.18,1399.42,554.04,47.6,8.44
2024-01-02 00:00:00,1,25,641.99,1586.04,1401.85,554.25,47.62,8.44
